conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum
Afghanistan,AFG,-0.1275,51.5072,33.81875642614741,65.92599980294847,5549.192369220871,2,0
Afghanistan,AFG,-73.9249,40.6943,33.81875642614741,65.92599980294847,10788.144962912935,7,0
Afghanistan,AFG,10.7389,59.9133,33.81875642614741,65.92599980294847,4901.027351675732,1,0
Afghanistan,AFG,12.4828,41.8933,33.81875642614741,65.92599980294847,4710.5065052692335,1,0
Afghanistan,AFG,16.3725,48.2083,33.81875642614741,65.92599980294847,4375.7904669748705,3,0
Afghanistan,AFG,2.3522,48.8567,33.81875642614741,65.92599980294847,5406.675535268373,1,0
Afghanistan,AFG,28.955,41.0136,33.81875642614741,65.92599980294847,3342.143325474846,1,0
Afghanistan,AFG,37.6172,55.7558,33.81875642614741,65.92599980294847,3265.8959896438637,3,0
Afghanistan,AFG,4.3525,50.8467,33.81875642614741,65.92599980294847,5243.389493121765,2,0
Afghanistan,AFG,49.1089,55.7964,33.81875642614741,65.92599980294847,2764.3801801976083,1,0
Afghanistan,AFG,51.3889,35.6892,33.81875642614741,65.92599980294847,1345.8078243415844,1,0
Afghanistan,AFG,51.5333,25.2867,33.81875642614741,65.92599980294847,1682.425008384082,14,0
Afghanistan,AFG,6.1667,49.75,33.81875642614741,65.92599980294847,5121.636379775164,1,0
Afghanistan,AFG,65.7158,31.62,33.81875642614741,65.92599980294847,244.6358004413383,2,0
Afghanistan,AFG,66.9758,39.6547,33.81875642614741,65.92599980294847,654.3691385792739,1,0
Afghanistan,AFG,68.78,38.5367,33.81875642614741,65.92599980294847,582.997137090739,1,0
Afghanistan,AFG,69.1783,34.5253,33.81875642614741,65.92599980294847,309.91245844067083,9,0
Afghanistan,AFG,69.2797,41.3111,33.81875642614741,65.92599980294847,882.5727763469755,2,0
Afghanistan,AFG,71.5675,34.0144,33.81875642614741,65.92599980294847,522.0826755792503,1,0
Afghanistan,AFG,75.1478,33.7353,33.81875642614741,65.92599980294847,853.9380991497555,5,0
Afghanistan,AFG,77.2089,28.6139,33.81875642614741,65.92599980294847,1219.1132758028418,1,0
Israel,ISR,-0.1275,51.5072,31.4329786422529,34.99113819680111,3627.6913891446316,7,0
Israel,ISR,-4,40,31.4329786422529,34.99113819680111,3622.6699133648463,1,0
Israel,ISR,-6.2603,53.35,31.4329786422529,34.99113819680111,4091.0883576149195,3,0
Israel,ISR,-6.8416,34.0209,31.4329786422529,34.99113819680111,3904.804632674162,1,0
Israel,ISR,-73.9249,40.6943,31.4329786422529,34.99113819680111,9194.804177119031,32,0
Israel,ISR,-74.2683,4.7344,31.4329786422529,34.99113819680111,11546.66884786511,6,0
Israel,ISR,-75.695,45.4247,31.4329786422529,34.99113819680111,9004.12670079796,2,0
Israel,ISR,-77.0163,38.9047,31.4329786422529,34.99113819680111,9525.787328770904,19,0
Israel,ISR,-8.0089,31.63,31.4329786422529,34.99113819680111,4056.514922332255,1,0
Israel,ISR,-97,38,31.4329786422529,34.99113819680111,10852.19390883531,4,0
Israel,ISR,10.7389,59.9133,31.4329786422529,34.99113819680111,3640.5727416364766,1,0
Israel,ISR,100,60,31.4329786422529,34.99113819680111,5659.852047702578,1,0
Israel,ISR,105,35,31.4329786422529,34.99113819680111,6401.28203321365,1,0
Israel,ISR,106.8275,-6.175,31.4329786422529,34.99113819680111,8669.837520039977,1,0
Israel,ISR,11.575,48.1375,31.4329786422529,34.99113819680111,2711.449753143067,2,0
Israel,ISR,116.3975,39.9067,31.4329786422529,34.99113819680111,7174.462037520189,10,1
Israel,ISR,12.45,41.9,31.4329786422529,34.99113819680111,2315.3861943677907,3,0
Israel,ISR,12.4828,41.8933,31.4329786422529,34.99113819680111,2312.588622052639,4,0
Israel,ISR,12.5683,55.6761,31.4329786422529,34.99113819680111,3214.6237112536887,1,0
Israel,ISR,126.99,37.56,31.4329786422529,34.99113819680111,8121.571055178391,1,0
Israel,ISR,13.405,52.52,31.4329786422529,34.99113819680111,2923.139146983958,2,0
Israel,ISR,139.6922,35.6897,31.4329786422529,34.99113819680111,9206.458889409922,1,0
Israel,ISR,14.5125,35.8983,31.4329786422529,34.99113819680111,1958.689404170837,1,0
Israel,ISR,149.1269,-35.2931,31.4329786422529,34.99113819680111,13993.98460928488,1,0
Israel,ISR,16.8667,41.1253,31.4329786422529,34.99113819680111,1945.2455022975003,1,0
Israel,ISR,175,-18,31.4329786422529,34.99113819680111,15744.782431793834,1,0
Israel,ISR,2.3522,48.8567,31.4329786422529,34.99113819680111,3346.959426248428,11,0
Israel,ISR,21.0111,52.23,31.4329786422529,34.99113819680111,2575.0057122543267,3,0
Israel,ISR,28.9543,30.8225,31.4329786422529,34.99113819680111,579.6620798282366,2,0
Israel,ISR,28.955,41.0136,31.4329786422529,34.99113819680111,1192.8218000419367,4,0
Israel,ISR,3,28,31.4329786422529,34.99113819680111,3107.7950692890745,1,0
Israel,ISR,3.0589,36.7539,31.4329786422529,34.99113819680111,2990.867430865259,1,0
Israel,ISR,30,27,31.4329786422529,34.99113819680111,690.4282607920917,8,0
